subject,Username,Condition,1_code,1_notes,2_code,exclude?,2_notes,3_code,exclude?,3_notes,total score
206,6d06ae27,DMT-with-tutorial,,,0,N,,0,N,-,0
207,0de3ad0f,DMT-with-tutorial,1,Lots of NR in Phase 1,0,N,,0,N,-,1
208,2d330444,DMT-with-tutorial,,,2,Y,lot of NRs & impossible RTs,2,Y,many low RTs and NRs,4
209,0eaa254b,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
210,55dbf7c4,DMT-with-tutorial,1,Lots of NR in Phase 1,2,Y,large bias for red in phase 2,2,Y,consecutive red in phase 2,5
211,3def9dfd,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
212,b1900112,DMT-with-tutorial,2,Large bias against blue in phase 2,2,Y,impossible RTs,2,Y,many low RTs,6
213,53adc684,DMT-with-tutorial,,,0,N,,0,N,-,0
214,29573411,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
215,d429c21a,DMT-with-tutorial,,,0,N,,0,N,-,0
216,c9f9b4ff,DMT-with-tutorial,,,0,N,,1,N,many NRs,1
217,70224bf5,DMT-with-tutorial,2,Large bias towards green in phase 1,0,N,,0,N,-,2
218,c295f463,DMT-with-tutorial,2,Lots of NR in Phase 1,0,N,,0,N,-,2
219,65057767,DMT-with-tutorial,,,1,N,slight bias for blue,2,Y,bias for blue,3
220,37a42259,DMT-with-tutorial,,,0,N,,0,N,-,0
221,6523511a,DMT-with-tutorial,2,Large bias against red in phase 2,0,N,,0,N,-,2
222,31448c0c,DMT-with-tutorial,,,0,N,,0,N,-,0
223,21baa9c1,DMT-with-tutorial,,,0,N,,0,N,-,0
224,b6fca588,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
225,9360eb45,DMT-with-tutorial,,,1,N,slight bias for blue in phase 2,1,N,bias for blue in phase 2,2
226,6934fe11,DMT-with-tutorial,2,Large bias towards blue in phase 1,2,Y,impossible RTs & a few NRs,1,N,low RTs and high level of NRs,5
227,82551300,DMT-with-tutorial,,,2,Y,impossible RTs,2,Y,many low RTs,4
228,53bf01c5,DMT-with-tutorial,2,Lots of NR in Phase 1,2,Y,large bias for red in phase 2,2,Y,bias for red in phase 2,6
229,494ff50a,DMT-with-tutorial,2,Very low RTs,0,N,,0,N,-,2
230,8a8ab53a,DMT-with-tutorial,2,Large bias towards red in phase 2,2,Y,large bias for blue in phase 1,2,Y,bias for blue in phase 1,6
231,713efa1a,DMT-with-tutorial,,,0,N,,0,N,-,0
232,98c2bfbd,DMT-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
233,3337426,DMT-with-tutorial,2,Lots of NR in Phase 1 and 2,0,N,,0,N,-,2
234,543ecc72,DMT-with-tutorial,,,0,N,,0,N,-,0
235,2e9b275f,DMT-with-tutorial,1,Very low RTs,0,N,,0,N,-,1
236,fb5aa372,DMT-with-tutorial,,,0,N,,0,N,-,0
237,0aab0a9b,DMT-with-tutorial,1,Large bias against red in phase 2,0,N,,0,N,-,1
238,bf728c26,DMT-with-tutorial,,,0,N,,0,N,-,0
239,ccbc9e30,DMT-with-tutorial,,,0,N,,0,N,-,0
240,a88d20c5,DMT-with-tutorial,,,0,N,,0,N,-,0
241,5fec616a,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
242,0ce55338,DMT-with-tutorial,,,0,N,,0,N,-,0
243,604eeaa6,DMT-with-tutorial,,,0,N,,0,N,-,0
244,583ee0be,DMT-with-tutorial,,,0,N,,0,N,-,0
245,afa4793c,DMT-with-tutorial,2,Large bias towards blue in phase 1,0,N,,0,N,-,2
246,0dc1e6d9,DMT-with-tutorial,2,Bias towards green in phase 2,0,N,,1,N,low amt. of blue in phase 2,3
247,78949889,DMT-with-tutorial,,,0,N,,0,N,-,0
248,d0f41055,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
249,f49537e7,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
250,ecdbad92,DMT-with-tutorial,,,0,N,,0,N,-,0
251,7d1da5ce,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
252,dd40920a,DMT-with-tutorial,,,2,Y,large bias for red ,2,Y,bias for red in phase 2,4
253,77ecd66b,DMT-with-tutorial,,,0,N,,0,N,-,0
254,4b5f1363,DMT-with-tutorial,2,Large bias towards red in phase 1 and 2,1,N,slight bias for red in phase 2,2,Y,bias for red in phase 2,5
255,cee3a8f1,DMT-with-tutorial,,,0,N,,0,N,-,0
256,b01b7430,DMT-with-tutorial,2,Large bias against green in phase 2,1,N,slight bias for red in phase 1,1,N,bias for red,4
257,a22d8d0b,DMT-with-tutorial,,,0,N,,0,N,-,0
258,e2175e4b,DMT-with-tutorial,1,Bias against green in Phase 2,0,N,,0,N,-,1
259,508ef1e8,DMT-with-tutorial,2,Bias against blue in phase 2,0,N,,0,N,-,2
260,d717ee02,DMT-with-tutorial,,,0,N,,0,N,-,0
261,295d02d2,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
262,e73be0c4,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
263,b1fc9380,DMT-with-tutorial,,,2,Y,large bias for red and green in phase 2,2,Y,only red and green in phase 2,4
264,c970e131,DMT-with-tutorial,1,Bias against green in Phase 2,0,N,,1,N,low amt. of blue in phase 2,2
265,983f4ec2,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
266,9a3a1a78,DMT-with-tutorial,2,Large bias against blue in phase 2,0,N,,0,N,-,2
267,635770c6,DMT-with-tutorial,1,Weird pattern,0,N,,0,N,-,1
268,8b81c0d2,DMT-with-tutorial,1,Few NRs in phase 1,0,N,,0,N,-,1
269,db19969f,DMT-with-tutorial,,,0,N,,0,N,-,0
270,797902f1,DMT-with-tutorial,,,2,Y,large bias towards red in phase 2,2,Y,consecutive red in phase 2,4
271,bb43a5b5,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
272,557a7dc9,DMT-with-tutorial,2,Large bias towards red in phase 2,0,N,,0,N,-,2
273,3f01fbcd,DMT-with-tutorial,,,0,N,,0,N,-,0
274,7.74E+53,DMT-with-tutorial,,,0,N,,0,N,-,0
275,aeb7c122,DMT-with-tutorial,,,0,N,,0,N,-,0
276,b6a5a6e7,DMT-with-tutorial,,,0,N,,0,N,-,0
277,46779a19,DMT-with-tutorial,,,0,N,,0,N,-,0
278,d113648b,DMT-with-tutorial,1,Bias against blue in phase 2,0,N,,0,N,-,1
279,b322f0bd,DMT-with-tutorial,,,1,N,slight bias towards blue in phase 2,1,N,bias for red in phase 2,2
280,ea6cec0b,DMT-with-tutorial,,Weird pattern,0,N,,0,N,-,0
281,b1083ac8,DMT-with-tutorial,2,Large bias towards blue in phase 2,0,N,,0,N,-,2
282,d862dc74,DMT-with-tutorial,,,0,N,,0,N,-,0
283,fbbbdfec,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
284,96af39eb,DMT-with-tutorial,2,Large bias against green in phase 2,0,N,,0,N,-,2
285,072bc315,DMT-with-tutorial,,,0,N,,0,N,-,0
286,c943d01c,DMT-with-tutorial,,,0,N,,0,N,-,0
287,6f8f30c1,DMT-with-tutorial,,,1,N,large bias towards blue in phase 1 & 2,1,N,-,2
288,4edb459e,DMT-with-tutorial,,,2,Y,lots of NRs,2,Y,high amt. of NRs,4
289,7b3790a1,DMT-with-tutorial,2,Large bias towards blue in phase 1 and 2,0,N,,0,N,-,2
290,47c78544,DMT-with-tutorial,2,Lots of NR in Phase 1 and 2,0,N,,0,N,-,2
291,af6b758b,DMT-with-tutorial,1,Bias again red in phase 1,0,N,,0,N,-,1
292,fdbdaac5,DMT-with-tutorial,,,0,N,,1,N,low RTs,1
293,87d1aeb6,DMT-with-tutorial,,,0,N,,0,N,-,0
294,551ea227,DMT-with-tutorial,,,0,N,,0,N,-,0
295,a2671715,DMT-with-tutorial,1,Bias against red in phase 2,0,N,,0,N,-,1
296,01c1c814,DMT-with-tutorial,,,0,N,,0,N,-,0
297,4460ff3a,DMT-with-tutorial,,,0,N,,0,N,-,0
298,6b4bbc0c,DMT-with-tutorial,1,Bias towards blue in phase 1,0,N,,0,N,-,1
299,e5a8e31b,DMT-with-tutorial,1,Lots of NR in Phase 1 and 2,0,N,,0,N,-,1
